ID,ARCHIVO,CATEGORÍA,SUBCATEGORÍA,TEMA,TEXTO,DIMENSIONES,TRANSPARENCIA,ORIGINAL_BASE,VARIANTE
01-funcionales-004-blush-02,output\stickers\01-funcionales\01-circulo-marcado-blush-02.png,FUNCIONALES,texto,blush,círculo marcado,900x450,RGBA,01-funcionales-004-estilo-02,blush
01-funcionales-004-sage-02,output\stickers\01-funcionales\01-circulo-marcado-sage-02.png,FUNCIONALES,texto,sage,círculo marcado,900x450,RGBA,01-funcionales-004-estilo-02,sage
01-funcionales-004-sky-02,output\stickers\01-funcionales\01-circulo-marcado-sky-02.png,FUNCIONALES,texto,sky,círculo marcado,900x450,RGBA,01-funcionales-004-estilo-02,sky
01-funcionales-004-sand-02,output\stickers\01-funcionales\01-circulo-marcado-sand-02.png,FUNCIONALES,texto,sand,círculo marcado,900x450,RGBA,01-funcionales-004-estilo-02,sand
01-funcionales-004-neutral-02,output\stickers\01-funcionales\01-circulo-marcado-neutral-02.png,FUNCIONALES,texto,neutral,círculo marcado,900x450,RGBA,01-funcionales-004-estilo-02,neutral
01-funcionales-004-multicolor-02,output\stickers\01-funcionales\01-circulo-marcado-multicolor-02.png,FUNCIONALES,texto,multicolor,círculo marcado,900x450,RGBA,01-funcionales-004-estilo-02,multicolor
01-funcionales-004-lavender-03,output\stickers\01-funcionales\01-circulo-marcado-lavender-03.png,FUNCIONALES,texto,lavender,círculo marcado,900x450,RGBA,01-funcionales-004-estilo-03,lavender
01-funcionales-004-blush-03,output\stickers\01-funcionales\01-circulo-marcado-blush-03.png,FUNCIONALES,texto,blush,círculo marcado,900x450,RGBA,01-funcionales-004-estilo-03,blush
01-funcionales-004-sage-03,output\stickers\01-funcionales\01-circulo-marcado-sage-03.png,FUNCIONALES,texto,sage,círculo marcado,900x450,RGBA,01-funcionales-004-estilo-03,sage
01-funcionales-004-sky-03,output\stickers\01-funcionales\01-circulo-marcado-sky-03.png,FUNCIONALES,texto,sky,círculo marcado,900x450,RGBA,01-funcionales-004-estilo-03,sky
01-funcionales-004-sand-03,output\stickers\01-funcionales\01-circulo-marcado-sand-03.png,FUNCIONALES,texto,sand,círculo marcado,900x450,RGBA,01-funcionales-004-estilo-03,sand
01-funcionales-004-neutral-03,output\stickers\01-funcionales\01-circulo-marcado-neutral-03.png,FUNCIONALES,texto,neutral,círculo marcado,900x450,RGBA,01-funcionales-004-estilo-03,neutral
01-funcionales-004-multicolor-03,output\stickers\01-funcionales\01-circulo-marcado-multicolor-03.png,FUNCIONALES,texto,multicolor,círculo marcado,900x450,RGBA,01-funcionales-004-estilo-03,multicolor
01-funcionales-005-lavender-01,output\stickers\01-funcionales\01-estrella-lavender-01.png,FUNCIONALES,texto,lavender,estrella,900x450,RGBA,01-funcionales-005-estilo-01,lavender
01-funcionales-005-blush-01,output\stickers\01-funcionales\01-estrella-blush-01.png,FUNCIONALES,texto,blush,estrella,900x450,RGBA,01-funcionales-005-estilo-01,blush
01-funcionales-005-sage-01,output\stickers\01-funcionales\01-estrella-sage-01.png,FUNCIONALES,texto,sage,estrella,900x450,RGBA,01-funcionales-005-estilo-01,sage
01-funcionales-005-sky-01,output\stickers\01-funcionales\01-estrella-sky-01.png,FUNCIONALES,texto,sky,estrella,900x450,RGBA,01-funcionales-005-estilo-01,sky
01-funcionales-005-sand-01,output\stickers\01-funcionales\01-estrella-sand-01.png,FUNCIONALES,texto,sand,estrella,900x450,RGBA,01-funcionales-005-estilo-01,sand
01-funcionales-005-neutral-01,output\stickers\01-funcionales\01-estrella-neutral-01.png,FUNCIONALES,texto,neutral,estrella,900x450,RGBA,01-funcionales-005-estilo-01,neutral
01-funcionales-005-multicolor-01,output\stickers\01-funcionales\01-estrella-multicolor-01.png,FUNCIONALES,texto,multicolor,estrella,900x450,RGBA,01-funcionales-005-estilo-01,multicolor
01-funcionales-005-lavender-02,output\stickers\01-funcionales\01-estrella-lavender-02.png,FUNCIONALES,texto,lavender,estrella,900x450,RGBA,01-funcionales-005-estilo-02,lavender
01-funcionales-005-blush-02,output\stickers\01-funcionales\01-estrella-blush-02.png,FUNCIONALES,texto,blush,estrella,900x450,RGBA,01-funcionales-005-estilo-02,blush
01-funcionales-005-sage-02,output\stickers\01-funcionales\01-estrella-sage-02.png,FUNCIONALES,texto,sage,estrella,900x450,RGBA,01-funcionales-005-estilo-02,sage
